code_activity,name_activity,ar_name_activity
63427.0,Technicien en radio communication courants faibles,تقني في راديو الاتصال-التيار المنخفض
63426.0,Technicien en radio communication,تقني في راديو الاتصال
63425.0,Technicien d'installation en télécommunications et radio,تقني تركيب في الاتصالات والراديو
63424.0,Technicien d'installation en télécommunications courants faibles,تقني تركيب في الاتصالات –التيار المنخفض
63423.0,Technicien d'installation en télécommunications,تقني تركيب في الاتصالات
63422.0,Technicien d'installation en courants faibles,تقني تركيب في التيارات المنخفضة
63421.0,Technicien d'installation de centrales téléphoniques,تقني تركيب مراكز هاتفية
63420.0,Technicien d'essais et de contrôle en télécommunication,تقني التجارب والمراقبة في الاتصالات
63419.0,Technicien de maintenance en téléphonie,تقني صيانة في مجال الهواتف
63418.0,Technicien de maintenance en télécommunications,تقني صيانة في الاتصالات
63417.0,Technicien de maintenance en systèmes d'alarme et de sécurité,تقني صيانة في أنظمة الإنذار والأمن
63416.0,Technicien de maintenance en installations de vidéo – surveillance,تقني صيانة في تركيبات المراقبة بالفيديو
63415.0,Technicien de maintenance des systèmes d'alarme et de télésurveillance,تقني صيانة أنظمة الإنذار والمراقبة عن بعد
63414.0,Technicien de maintenance des systèmes d'alarme,تقني صيانة أنظمة الإنذار
63413.0,Technicien de déploiement télécom,تقني تركيب في الاتصالات
63412.0,Superviseur des équipements de transmission,مشرف على تجهيزات الإرسال
63411.0,Monteur en paraboles et antennes,مركب في الصحون الهوائية والهوائيات
63410.0,Monteur d'installations en télécommunications et courant faibles,مركب التركيبات في الاتصالات والتيارات المنخفضة
63409.0,Installateur en télécommunication,مركب في الاتصالات
63408.0,Electro Mécanicien de maintenance sécurité,كهروميكانيكي صيانة أجهزة الأمان
63407.0,Electro Mécanicien de maintenance en téléphonie,كهروميكانيكي الصيانة في مجال الهاتف
63406.0,Antenniste,مختص هوائيات
63405.0,Aide monteur d'installations en télécommunications et courant faibles,مساعد مركب تثبيت في الاتصالات والتيار المنخفض
63404.0,Agent technique relève dérangements en télécommunications,تقني في صيانة تجهيزات الاتصالات
63403.0,Agent technique en télécommunications courants faibles,عون تقني في الاتصالات التيار المنخفض
63402.0,Agent technique en télécommunications,عون تقني في الاتصالات
63401.0,Agent de maintenance en systèmes d'alarme et de sécurité,عون صيانة في أنظمة الإنذار والأمان
63332.0,Technicien-cuisiniste en cuisines professionnelles,تقني – مطبخي في المطابخ المهنية
63331.0,Technicien supérieur de maintenance en exploitation climatique,تقني سامي في الصيانة تشغيل التكييف
63330.0,Technicien frigoriste,تقني اختصاصي تبريد
63329.0,Technicien en froid et climatisation,تقني في التبريد والتكييف
63328.0,Technicien en climatisation Service Après Vente-SAV-,تقني في خدمة ما بعد البيع في التكييف
63327.0,Technicien d'intervention et de maintenance en conditionnement d'air,تقني تدخل وصيانة في تكييف الهواء
63326.0,Technicien d'intervention en froid industriel,تقني تدخل في التبريد الصناعي
63325.0,Technicien d'intervention en froid et climatisation,تقني تدخل في التبريد والتكييف
63324.0,Technicien d'intervention en froid commercial et climatisation,تقني تدخل في التبريد التجاري والتكييف
63323.0,Technicien d'intervention en équipements de cuisines professionnelles,تقني تدخل في تجهيزات المطابخ المهنية
63322.0,Technicien de test final en installation et maintenance en froid,تقني التجربة النهائية في تركيب وصيانة التبريد
63321.0,Technicien de maintenance de système de filtration d'air,تقني في صيانة نظام تصفية الهواء
63320.0,Monteur-frigoriste,مركب اختصاصي تبريد
63319.0,Monteur-dépanneur frigoriste,مركب مصلح اختصاصي تبريد
63318.0,Monteur-dépanneur en installations de froid et climatisation,مركب مصلح في تركيب التبريد والتكييف
63317.0,Monteur-dépanneur en installations climatiques,مركب مصلح في تركيب التكييف
63316.0,Monteur en gaines de ventilation,مركب في قنوات الهواء
63315.0,Monteur en conditionnement d'air,مركب في تكييف الهواء
63314.0,Mécanicien de maintenance des systèmes climatiques et frigorifiques,ميكانيكي صيانة أنظمة التكييف والتبريد
63313.0,Frigoriste maritime,اختصاصي تبريد بحري
